sample,kind,plate_text,last5,position_in_last5,bbox,prediction,digit_score,svm_probability,template_correlation,template_prediction,svm_prediction,fusion_prediction,post_rule,is_digit,truth,correct
plate_1.jpeg,clean,LiaoA-87459,87459,1,"[241, 45, 79, 138]",8,0.9014569250464188,0.9307927634516934,0.7149063348770142,8,8,8,none,True,8,True
plate_1.jpeg,clean,LiaoA-87459,87459,2,"[329, 46, 73, 136]",7,0.7585785715741857,0.7092471071354125,0.6651515364646912,7,7,7,none,True,7,True
plate_1.jpeg,clean,LiaoA-87459,87459,3,"[413, 47, 75, 135]",4,0.8268970727769966,0.8520602186269951,0.5783047080039978,4,4,4,none,True,4,True
plate_1.jpeg,clean,LiaoA-87459,87459,4,"[499, 46, 73, 137]",5,0.9097636389021245,0.9448548832343961,0.7142535448074341,5,5,5,none,True,5,True
plate_1.jpeg,clean,LiaoA-87459,87459,5,"[583, 45, 74, 138]",9,0.4835541827937203,0.2924628627731133,0.5403823256492615,0,0,0,0_to_9_right_tail,True,9,True
plate_2.jpeg,clean,LiaoA-01236,01236,1,"[243, 46, 74, 139]",0,0.9284149723113349,0.9501325217983408,0.7916772961616516,0,0,0,none,True,0,True
plate_2.jpeg,clean,LiaoA-01236,01236,2,"[346, 46, 35, 136]",1,0.6300631130630265,0.5681330503514228,0.44591641426086426,1,1,1,none,True,1,True
plate_2.jpeg,clean,LiaoA-01236,01236,3,"[413, 46, 73, 138]",2,0.9268538911086714,0.9680550229122898,0.730104386806488,2,2,2,none,True,2,True
plate_2.jpeg,clean,LiaoA-01236,01236,4,"[497, 46, 75, 139]",3,0.3508254824251943,0.1025287704618462,0.44654110074043274,8,8,8,8_to_3_open_left,True,3,True
plate_2.jpeg,clean,LiaoA-01236,01236,5,"[584, 46, 73, 138]",6,0.3331087838659432,0.07462617937885171,0.441665381193161,5,5,5,similar_to_6_left_loop,True,6,True
real_1.jpg,real,WanA-X688A,X688A,1,"[78, 21, 21, 42]",4,0.4244293050064927,0.38345990223922416,-0.028233181685209274,0,4,4,none,False,,False
real_1.jpg,real,WanA-X688A,X688A,2,"[103, 23, 22, 39]",6,0.3858287881739778,0.3610229659292173,-0.15392495691776276,2,6,6,none,False,6,False
real_1.jpg,real,WanA-X688A,X688A,3,"[129, 22, 21, 41]",8,0.4688350597094893,0.4960559919594724,-0.14399267733097076,2,8,8,none,True,8,True
real_1.jpg,real,WanA-X688A,X688A,4,"[153, 22, 22, 41]",8,0.42386137472941776,0.41268791138056743,-0.11875686049461365,2,8,8,none,True,8,True
real_1.jpg,real,WanA-X688A,X688A,5,"[179, 23, 20, 40]",4,0.5153284412087407,0.5488434254231398,-0.06988807022571564,0,4,4,none,True,,False
real_2.jpg,real,WanA-AN920,AN920,1,"[95, 32, 19, 40]",4,0.6102024863790512,0.5697789011119205,0.341675728559494,4,4,4,none,False,,False
real_2.jpg,real,WanA-AN920,AN920,2,"[116, 31, 21, 40]",1,0.45639554494661033,0.29484867443710466,0.39743170142173767,1,1,1,none,False,,False
real_2.jpg,real,WanA-AN920,AN920,3,"[138, 31, 20, 40]",9,0.8664200118523985,0.8503834690223385,0.7809496521949768,9,9,9,none,True,9,True
real_2.jpg,real,WanA-AN920,AN920,4,"[162, 31, 20, 40]",2,0.6903675196141692,0.657150725121414,0.480385422706604,2,2,2,none,True,2,True
real_2.jpg,real,WanA-AN920,AN920,5,"[184, 31, 19, 39]",0,0.7651262602058524,0.7312371665980211,0.631919801235199,0,0,0,none,True,0,True
